Name,Price,Date,Time
"Золотая звезда ингасепт 0,15% 30 мл спрей",1 290 ₸ 1 097 ₸,2024-05-06,17:28:27
Анзибел 30 мл спрей оральный,1 670 ₸ 1 554 ₸,2024-05-06,17:28:27
Кагоцел 12 мг №20 табл.,4 140 ₸ 3 851 ₸,2024-05-06,17:28:27
Клофан 10% 7 г крем в тубе,1 860 ₸ 1 730 ₸,2024-05-06,17:28:27
Фенкарол 50 мг №30 табл.,3 980 ₸ 3 702 ₸,2024-05-06,17:28:27
Но-шпа 40 мг №24 табл.,1 190 ₸ 1 107 ₸,2024-05-06,17:28:27
Хофитол 20% 120 мл р-р для приема внутрь,4 180 ₸ 3 888 ₸,2024-05-06,17:28:27
Лазолван Юниор 15 мг/5 мл 100 мл сироп,1 720 ₸ 1 600 ₸,2024-05-06,17:28:27
Инфлюцид №60 табл.,2 390 ₸ 2 223 ₸,2024-05-06,17:28:27
Анаферон детский 300 мг №20 табл.сублингв.,1 490 ₸ 1 386 ₸,2024-05-06,17:28:27
Тенотен детский №40 табл. гомеоп.,1 650 ₸ 1 535 ₸,2024-05-06,17:28:27
Кальций Д3 Никомед №120 табл.жев.апельсин,5 990 ₸ 5 571 ₸,2024-05-06,17:28:27
Энтерожермина® Форте 4 млрд/5мл 5 мл №10 суспензия для приема внутрь,5 340 ₸ 4 967 ₸,2024-05-06,17:28:27
Геленк Нарунг 600 г,12 695 - 23 980 ₸,2024-05-06,17:28:27
Зодак 10 мг №10 табл.п.о.,1 360 ₸ 1 265 ₸,2024-05-06,17:28:27
Анаферон детский 25 мл капли д/приема внутрь,1 850 ₸ 1 721 ₸,2024-05-06,17:28:27
Зодак 10 мг №30 табл.п.о.,2 890 ₸ 2 688 ₸,2024-05-06,17:28:27
"Фенистил 0,1% 30 г гель в тубе",3 050 ₸ 2 593 ₸,2024-05-06,17:28:27
"Убихинон Композитум 2,2 мл №5 раствор для инъекций в ампулах",5 170 ₸ 4 809 ₸,2024-05-06,17:28:27
Энтеросгель® 225 г паста для приема внутрь,5 230 ₸ 4 864 ₸,2024-05-06,17:28:27
Детримакс Бэби 200 МЕ 30 мл капли,4 190 ₸ 3 897 ₸,2024-05-06,17:28:27
Резистол 20 мл р-р для приема внутрь,1 560 ₸ 1 451 ₸,2024-05-06,17:28:27
Долгит 5% 100 г крем в тубе,2 660 ₸ 2 474 ₸,2024-05-06,17:28:27
Вольтарен Эмульгель 1% 20 г гель,1 120 ₸ 1 042 ₸,2024-05-06,17:28:27
Натальсид 250 мг №10 супп.рект.,3 080 ₸ 2 865 ₸,2024-05-06,17:28:27
Дентинокс H 10 г гель в тубе,2 140 ₸ 1 991 ₸,2024-05-06,17:28:27
Волвит 5 мг №30 табл.п.о.,3 830 ₸ 3 562 ₸,2024-05-06,17:28:27
Септолете Тотал №16 табл.д/рассас.,1 990 ₸ 1 851 ₸,2024-05-06,17:28:27
Эссливер Н №30 капс.,3 170 ₸ 2 949 ₸,2024-05-06,17:28:27
Печаевские 100 мг №20 табл.жев.,890 ₸ 828 ₸,2024-05-06,17:28:27
Нукс Вомика - Гомаккорд 30 мл капли д/приема внутрь,3 140 ₸ 2 921 ₸,2024-05-06,17:28:27
"Гепар Комп. Хеель 2,2 мл №5 раствор для инъекций в ампулах",7 460 ₸ 6 938 ₸,2024-05-06,17:28:27
Нормобакт L 3 г №10 пак.-саше,3 790 ₸ 3 525 ₸,2024-05-06,17:28:30
Ангал® С 30 мл спрей местн. флак.,3 370 ₸ 3 135 ₸,2024-05-06,17:28:30
Мульти Мэн витаминно-минеральный комплекс для мужчин №30 табл.,4 840 ₸ 4 502 ₸,2024-05-06,17:28:30
Миконаз 2% 20 г гель оральный,1 590 ₸ 1 479 ₸,2024-05-06,17:28:30
Зодак 10 мг/мл 20 мл капли д/приема внутрь,2 290 ₸ 2 130 ₸,2024-05-06,17:28:30
Ренгалин 100 мл р-р для приема внутрь,1 620 ₸ 1 507 ₸,2024-05-06,17:28:30
